Date,Open,High,Low,Close,Volume,OpenInterest
2006-01-02,1789.36,1802.98,1789.36,1802.16,1647940,0.00
2006-01-03,1802.04,1819.21,1800.92,1807.17,5544260,0.00
2006-01-04,1807.62,1826.23,1807.62,1826.23,5175580,0.00
2006-01-05,1826.10,1830.82,1821.58,1825.12,4322520,0.00
2006-01-06,1825.27,1833.50,1823.83,1833.50,4161120,0.00
2006-01-09,1833.55,1843.00,1833.55,1835.89,4362070,0.00
2006-01-10,1835.62,1835.62,1819.38,1822.47,4847190,0.00
2006-01-11,1822.86,1837.16,1822.86,1834.30,4497830,0.00
2006-01-12,1833.58,1838.00,1828.50,1835.10,4443160,0.00
2006-01-13,1835.14,1835.14,1809.03,1814.62,5916910,0.00
2006-01-16,1814.36,1824.55,1810.52,1822.20,2732960,0.00
2006-01-17,1819.78,1819.78,1803.27,1805.04,5559590,0.00
2006-01-18,1804.67,1804.67,1775.08,1785.08,8661290,0.00
2006-01-19,1786.10,1798.67,1786.10,1796.61,6440530,0.00
2006-01-20,1796.58,1806.18,1775.40,1775.40,9629410,0.00
2006-01-23,1775.12,1775.12,1757.54,1772.16,6693690,0.00
2006-01-24,1772.39,1776.58,1763.18,1766.34,6094270,0.00
2006-01-25,1766.36,1789.00,1766.36,1789.00,7575360,0.00
2006-01-26,1789.46,1820.71,1788.99,1820.71,9829570,0.00
2006-01-27,1821.68,1842.74,1821.68,1842.74,7621160,0.00
2006-01-30,1842.19,1842.82,1832.22,1838.76,4240690,0.00
2006-01-31,1838.36,1853.82,1835.84,1845.70,7497400,0.00
2006-02-01,1843.08,1864.40,1837.44,1864.12,7338500,0.00
2006-02-02,1864.46,1872.57,1838.52,1838.52,8709560,0.00
2006-02-03,1838.52,1848.00,1826.38,1839.24,7116080,0.00
2006-02-06,1839.44,1852.08,1836.26,1841.16,4075750,0.00
2006-02-07,1841.48,1849.32,1828.10,1840.40,6811510,0.00
2006-02-08,1840.02,1840.02,1818.96,1835.68,6381800,0.00
2006-02-09,1836.17,1863.40,1836.17,1863.40,5657280,0.00
2006-02-10,1862.59,1867.57,1846.32,1847.82,5381790,0.00
2006-02-13,1848.04,1863.73,1842.42,1863.73,5746500,0.00
2006-02-14,1864.08,1872.33,1853.62,1867.24,6725890,0.00
2006-02-15,1866.98,1874.68,1860.20,1864.90,6511960,0.00
2006-02-16,1865.41,1878.24,1865.41,1878.24,5020430,0.00
2006-02-17,1878.67,1888.58,1874.97,1883.85,5323540,0.00
2006-02-20,1883.56,1884.58,1874.94,1883.37,1796850,0.00
2006-02-21,1883.60,1900.39,1883.60,1889.76,5521880,0.00
2006-02-22,1889.01,1909.24,1885.53,1909.24,5408570,0.00
2006-02-23,1909.78,1915.58,1898.10,1906.64,5733380,0.00
2006-02-24,1906.38,1913.00,1902.78,1913.00,4201590,0.00
2006-02-27,1914.50,1920.28,1909.82,1920.28,3411730,0.00
2006-02-28,1920.16,1920.16,1884.62,1887.26,8061680,0.00
2006-03-01,1887.62,1903.17,1886.24,1903.02,5648400,0.00
2006-03-02,1903.65,1910.28,1872.73,1881.86,8229770,0.00
2006-03-03,1881.98,1887.02,1857.68,1866.98,7519910,0.00
2006-03-06,1868.79,1883.24,1868.79,1877.04,5072650,0.00
2006-03-07,1875.65,1875.65,1859.96,1872.60,6692670,0.00
2006-03-08,1872.55,1878.58,1851.02,1863.98,8018450,0.00
2006-03-09,1868.30,1882.78,1868.30,1878.80,6622350,0.00
2006-03-10,1877.06,1899.23,1870.76,1899.23,8853560,0.00
2006-03-13,1900.52,1913.72,1900.52,1912.48,6994370,0.00
2006-03-14,1911.59,1916.74,1904.48,1916.74,10508660,0.00
2006-03-15,1917.06,1926.66,1917.06,1921.08,11538780,0.00
2006-03-16,1922.08,1923.94,1911.28,1919.86,9631980,0.00
2006-03-17,1920.10,1937.32,1910.25,1916.22,8344570,0.00
2006-03-20,1916.62,1931.98,1916.56,1921.02,3922110,0.00
2006-03-21,1921.24,1924.08,1905.51,1924.08,6556770,0.00
2006-03-22,1920.14,1936.31,1913.70,1934.24,5805110,0.00
2006-03-23,1934.61,1939.24,1925.23,1930.06,5087210,0.00
2006-03-24,1929.79,1937.50,1926.72,1935.44,4443610,0.00
2006-03-27,1936.14,1936.14,1913.24,1914.26,5060350,0.00
2006-03-28,1914.91,1923.26,1899.52,1905.72,6404340,0.00
2006-03-29,1905.92,1915.35,1899.56,1913.15,5903380,0.00
2006-03-30,1917.60,1940.84,1917.60,1937.30,6316680,0.00
2006-03-31,1936.18,1936.18,1920.32,1926.87,5652160,0.00
2006-04-03,1930.00,1940.56,1928.62,1939.32,4274110,0.00
2006-04-04,1937.54,1937.54,1921.59,1925.06,4960390,0.00
2006-04-05,1926.64,1932.91,1917.68,1931.96,5747080,0.00
2006-04-06,1933.00,1939.85,1924.36,1930.64,6133720,0.00
2006-04-07,1930.02,1937.30,1911.13,1911.56,7052070,0.00
2006-04-10,1911.18,1921.76,1906.90,1921.76,4919240,0.00
2006-04-11,1920.44,1921.81,1891.00,1894.40,7890730,0.00
2006-04-12,1893.46,1895.58,1876.74,1888.47,8234850,0.00
2006-04-13,1888.62,1893.76,1877.84,1889.97,4969440,0.00
2006-04-18,1889.62,1889.62,1874.86,1885.40,6451870,0.00
2006-04-19,1889.23,1912.59,1889.23,1910.48,7220510,0.00
2006-04-20,1910.46,1939.14,1910.46,1930.00,8540850,0.00
2006-04-21,1931.78,1946.18,1931.78,1944.23,6732460,0.00
2006-04-24,1942.28,1942.28,1929.34,1931.14,4340050,0.00
2006-04-25,1932.32,1944.32,1930.30,1935.54,6044890,0.00
2006-04-26,1936.84,1946.08,1936.53,1943.50,4953020,0.00
2006-04-27,1944.72,1944.72,1916.05,1932.71,11452280,0.00
2006-04-28,1932.96,1932.96,1916.87,1919.95,6560510,0.00
2006-05-02,1919.62,1932.10,1915.48,1931.12,4944180,0.00
2006-05-03,1932.64,1939.66,1908.80,1910.98,7368700,0.00
2006-05-04,1911.28,1921.83,1903.18,1921.54,7442980,0.00
2006-05-05,1922.66,1937.16,1918.32,1937.16,6599110,0.00
2006-05-08,1938.87,1948.70,1936.34,1938.76,4693400,0.00
2006-05-09,1939.80,1945.47,1933.18,1945.47,4555380,0.00
2006-05-10,1941.69,1944.89,1931.78,1931.78,4926000,0.00
2006-05-11,1932.01,1947.30,1918.34,1918.93,8271950,0.00
2006-05-12,1914.91,1914.91,1875.22,1875.22,13424760,0.00
2006-05-15,1873.20,1873.20,1840.48,1855.58,14605180,0.00
2006-05-16,1855.73,1875.06,1846.18,1865.18,11174780,0.00
2006-05-17,1867.16,1875.21,1802.60,1802.68,17887180,0.00
2006-05-18,1803.70,1824.77,1779.14,1803.16,21682280,0.00
2006-05-19,1804.13,1819.19,1800.84,1812.66,12128720,0.00
2006-05-22,1811.18,1811.18,1763.52,1769.88,16416270,0.00
2006-05-23,1770.78,1818.70,1770.78,1810.14,13816850,0.00
2006-05-24,1808.56,1808.56,1771.46,1787.43,15294210,0.00
2006-05-25,1789.68,1817.50,1777.59,1817.50,11291100,0.00
2006-05-26,1823.58,1849.90,1823.21,1849.90,10271270,0.00
2006-05-29,1848.24,1848.24,1838.51,1839.78,2158090,0.00
2006-05-30,1838.84,1841.65,1790.82,1795.46,12602200,0.00
2006-05-31,1790.90,1820.92,1771.20,1818.58,13969180,0.00
2006-06-01,1817.41,1826.42,1797.64,1824.16,9903870,0.00
